date,value
2026-01-02,314.9283142089844
2026-01-05,316.3173522949219
2026-01-06,314.1188659667969
2026-01-07,321.7535095214844
2026-01-08,325.2110595703125
2026-01-09,328.3388671875
2026-01-12,331.62652587890625
2026-01-13,335.7336730957031
2026-01-14,335.603759765625
2026-01-15,332.5458984375
2026-01-16,329.7678527832031
2026-01-20,321.77349853515625
2026-01-21,328.1490173339844
2026-01-22,330.3074951171875
2026-01-23,327.6993103027344
2026-01-26,333.02557373046875
2026-01-27,334.31463623046875
2026-01-28,335.7736511230469
2026-01-29,338.0120544433594
2026-01-30,337.7622375488281
2026-02-02,343.4482421875
2026-02-03,339.47100830078125
2026-02-04,332.80572509765625
2026-02-05,331.0169677734375
2026-02-06,322.63287353515625
2026-02-09,324.09185791015625
2026-02-10,318.3558654785156
2026-02-11,310.7412414550781
2026-02-12,308.7826232910156
2026-02-13,305.50494384765625
2026-02-17,301.8075256347656
2026-02-18,303.1166076660156
2026-02-19,302.636962890625
2026-02-20,314.7584228515625
2026-02-23,311.2708740234375
2026-02-24,310.6813049316406
2026-02-25,312.67987060546875
2026-02-26,307.1637878417969
2026-02-27,311.54071044921875
2026-03-02,306.3043518066406
2026-03-03,303.3664245605469
2026-03-04,302.9167785644531
2026-03-05,300.6683349609375
2026-03-06,298.30999755859375
2026-03-09,306.3599853515625
2026-03-10,307.0400085449219
2026-03-11,308.70001220703125
2026-03-12,303.54998779296875
2026-03-13,302.2799987792969
2026-03-16,305.55999755859375
2026-03-17,310.9200134277344
2026-03-18,307.69000244140625
2026-03-19,307.1300048828125
2026-03-20,301.0
2026-03-23,302.05999755859375
2026-03-24,290.44000244140625
2026-03-25,290.92999267578125
2026-03-26,280.9200134277344
2026-03-27,274.3399963378906
2026-03-30,273.5
2026-03-31,287.55999755859375
2026-04-01,297.3900146484375
2026-04-02,295.7699890136719
2026-04-06,299.989990234375
2026-04-07,305.4599914550781
2026-04-08,317.32000732421875
2026-04-09,318.489990234375
2026-04-10,317.239990234375
2026-04-13,321.30999755859375
2026-04-14,332.9100036621094
2026-04-15,337.1199951171875
2026-04-16,336.0199890136719
2026-04-17,341.67999267578125
2026-04-20,337.4200134277344
2026-04-21,332.2900085449219
2026-04-22,339.32000732421875
2026-04-23,338.8900146484375
2026-04-24,343.510009765625
