date,value
2026-01-02,613.1199951171875
2026-01-05,617.989990234375
2026-01-06,623.4199829101562
2026-01-07,624.02001953125
2026-01-08,620.469970703125
2026-01-09,626.6500244140625
2026-01-12,627.1699829101562
2026-01-13,626.239990234375
2026-01-14,619.5499877929688
2026-01-15,621.780029296875
2026-01-16,621.260009765625
2026-01-20,608.0599975585938
2026-01-21,616.280029296875
2026-01-22,620.760009765625
2026-01-23,622.719970703125
2026-01-26,625.4600219726562
2026-01-27,631.1300048828125
2026-01-28,633.219970703125
2026-01-29,629.4299926757812
2026-01-30,621.8699951171875
