date,value
2026-01-02,128234.578125
2026-01-05,137814.75
2026-01-06,138613.09375
2026-01-07,140708.765625
2026-01-08,138513.296875
2026-01-09,138712.890625
2026-01-12,138513.296875
2026-01-13,137315.78125
2026-01-14,140010.203125
2026-01-15,143602.765625
2026-01-16,148592.4375
2026-01-19,148991.609375
2026-01-20,144900.078125
2026-01-21,149191.203125
2026-01-22,151985.421875
2026-01-23,151785.828125
2026-01-26,151785.828125
2026-01-27,159170.546875
2026-01-28,162064.5625
2026-01-29,160368.0625
2026-01-30,160168.484375
2026-02-02,150089.34375
2026-02-03,167154.015625
2026-02-04,168750.71875
2026-02-05,158970.953125
2026-02-06,158272.40625
2026-02-09,166056.296875
2026-02-10,165457.53125
2026-02-11,167453.40625
2026-02-12,178231.09375
2026-02-13,180825.71875
2026-02-19,189607.546875
2026-02-20,189707.34375
2026-02-23,192601.34375
2026-02-24,199586.890625
2026-02-25,203079.65625
2026-02-26,217549.71875
2026-02-27,216052.8125
2026-03-03,194697.015625
2026-03-04,171844.3125
2026-03-05,191204.25
2026-03-06,187811.265625
2026-03-09,173141.625
2026-03-10,187511.890625
2026-03-11,189607.546875
2026-03-12,187511.890625
2026-03-13,183120.96875
2026-03-16,188310.234375
2026-03-17,193499.484375
2026-03-18,208069.328125
2026-03-19,200085.859375
2026-03-20,198988.125
2026-03-23,185915.1875
2026-03-24,189308.171875
2026-03-25,188609.609375
2026-03-26,179728.0
2026-03-27,179728.0
2026-03-30,176300.0
2026-03-31,167200.0
2026-04-01,189650.0
2026-04-02,178400.0
2026-04-03,186200.0
2026-04-06,193100.0
2026-04-07,196500.0
2026-04-08,210500.0
2026-04-09,204000.0
2026-04-10,206000.0
2026-04-13,201000.0
2026-04-14,206500.0
2026-04-15,211000.0
2026-04-16,217500.0
2026-04-17,216000.0
2026-04-20,214500.0
2026-04-21,219000.0
2026-04-22,217500.0
2026-04-23,224500.0
2026-04-24,219500.0
2026-04-27,224500.0
2026-04-28,222000.0
2026-04-29,226000.0
2026-04-30,220500.0
